Stim,Stim_Deriv,Cont,Cont_Deriv
5.831771e-02,7.356907e-02,-1.037421e+00,5.646184e-03
9.756706e-02,1.989892e-02,-9.877071e-01,6.009015e-02
9.811718e-02,-7.983807e-03,-9.117061e-01,7.159244e-02
8.160108e-02,-1.780681e-02,-8.389868e-01,6.236676e-02
6.250531e-02,-1.693280e-02,-7.814361e-01,4.668318e-02
4.773738e-02,-1.198203e-02,-7.400831e-01,3.240821e-02
3.854325e-02,-7.082798e-03,-7.110817e-01,2.232175e-02
3.357384e-02,-3.703248e-03,-6.899012e-01,1.620306e-02
3.113885e-02,-1.758327e-03,-6.731368e-01,1.278997e-02
3.005931e-02,-7.472696e-04,-6.587822e-01,1.089521e-02
2.964644e-02,-2.645498e-04,-6.458072e-01,9.748316e-03
2.953234e-02,-4.550595e-05,-6.337462e-01,8.928453e-03
2.955756e-02,6.339183e-05,-6.224107e-01,8.225211e-03
2.966125e-02,1.236069e-04,-6.117560e-01,7.544863e-03
2.980690e-02,1.686247e-04,-6.017811e-01,6.846489e-03
3.000063e-02,2.410171e-04,-5.925230e-01,6.092897e-03
3.029106e-02,3.346710e-04,-5.840551e-01,5.278753e-03
3.067210e-02,3.920847e-04,-5.764251e-01,4.420031e-03
3.107735e-02,4.022981e-04,-5.696745e-01,3.541378e-03
3.147881e-02,4.033678e-04,-5.638018e-01,2.678049e-03
3.188621e-02,4.163584e-04,-5.587778e-01,1.843010e-03
3.231364e-02,4.409524e-04,-5.545751e-01,1.031878e-03
3.277022e-02,4.724644e-04,-5.511733e-01,2.395279e-04
3.326068e-02,5.070239e-04,-5.485552e-01,-5.356801e-04
3.378637e-02,5.417082e-04,-5.467038e-01,-1.292554e-03
3.434619e-02,5.745803e-04,-5.455994e-01,-2.028084e-03
3.493763e-02,6.046809e-04,-5.452190e-01,-2.738395e-03
3.555765e-02,6.317027e-04,-5.455353e-01,-3.419376e-03
3.620312e-02,6.556139e-04,-5.465168e-01,-4.067330e-03
3.687096e-02,6.764239e-04,-5.481290e-01,-4.679160e-03
3.755805e-02,6.940898e-04,-5.503343e-01,-5.252242e-03
3.826121e-02,7.085353e-04,-5.530927e-01,-5.784580e-03
3.897718e-02,7.196634e-04,-5.563626e-01,-6.274684e-03
3.970260e-02,7.273811e-04,-5.601013e-01,-6.721512e-03
4.043400e-02,7.316138e-04,-5.642650e-01,-7.124527e-03
4.116788e-02,7.323037e-04,-5.688097e-01,-7.483641e-03
4.190066e-02,7.293578e-04,-5.736917e-01,-7.799151e-03
4.262864e-02,7.147405e-04,-5.788675e-01,-8.063846e-03
4.333217e-02,6.690970e-04,-5.842789e-01,-8.259517e-03
4.396886e-02,2.075787e-04,-5.898462e-01,-7.986813e-03
4.374936e-02,-5.124561e-02,-5.947123e-01,4.336690e-02
-5.852033e-02,-2.315946e-01,-4.975722e-01,2.244882e-01
